 --> Category: RECO_VBFLIKEGGH_Tag0
    * ggH_PTH_200_300_2018_hgg = 9.92%
    * ggH_PTH_300_450_2018_hgg = 5.89%
    * qqH_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 13.39%
    * WH_had_GE2J_MJJ_GT350_PTH_GT200_2018_hgg = 1.27%

 --> Category: RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag0
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 3.75%
    * qqH_1J_2016_hgg = 3.00%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 2.07%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 34.78%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 3.62%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 8.12%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 2.04%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.79%
    * qqH_1J_2018_hgg = 1.28%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 1.49%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 22.14%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 5.08%

 --> Category: RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag1
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.87%
    * qqH_1J_2016_hgg = 2.15%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 1.24%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 19.76%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 4.54%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 5.96%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 2.09%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 2.35%
    * qqH_1J_2018_hgg = 2.47%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 3.18%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 31.95%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 8.55%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 1.07%

 --> Category: RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag0
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.34%
    * qqH_1J_2016_hgg = 4.75%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 28.29%
    * ggH_1J_PTH_120_200_2016_hgg = 1.13%
    * ggH_1J_PTH_60_120_2016_hgg = 2.42%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 2.28%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 1.80%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 8.12%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 5.43%
    * ggH_1J_PTH_60_120_2017_hgg = 1.23%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 5.05%
    * qqH_1J_2018_hgg = 1.79%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 13.97%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 2.50%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 1.02%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 9.01%

 --> Category: RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag1
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2016_hgg = 1.01%
    * qqH_GE2J_MJJ_120_350_2016_hgg = 2.09%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 2.31%
    * qqH_1J_2016_hgg = 2.04%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 20.98%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 1.34%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 8.01%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 5.84%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2017_hgg = 4.66%
    * ggH_GE2J_MJJ_0_350_PTH_60_120_2018_hgg = 1.27%
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 1.15%
    * qqH_1J_2018_hgg = 2.03%
