# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
ShowerShapeLowR9EB_scale      5.829e-05     0.003499     0.0008018    

diphotonCat=0
proc=tth
HighR9EB_13TeVscale           0.001081     0.007164     0.002508    
HighR9EE_13TeVscale           3.703e-05     0.004887     0.0006302    
LowR9EB_13TeVscale            0.0004928     0.02243     0.002545    
LowR9EE_13TeVscale            3.783e-05     0.0009671     4.384e-08    
HighR9EBPhi_13TeVsmear        6.001e-05     0.1632     0.001871    
HighR9EBRho_13TeVsmear        4.871e-05     0.002108     0.0002962    
HighR9EEPhi_13TeVsmear        7.935e-05     0.009678     0.001244    
HighR9EERho_13TeVsmear        3.728e-05     0.001589     3.351e-08    
LowR9EBPhi_13TeVsmear         5.12e-05     0.01749     0.001835    
LowR9EBRho_13TeVsmear         3.375e-05     0.001202     2.628e-08    
LowR9EEPhi_13TeVsmear         5.068e-05     0.003106     0.0005661    
LowR9EERho_13TeVsmear         3.46e-05     4.466e-08     5.087e-08    
MaterialCentral_scale         0.0004103     0.007077     3.53e-05    
MaterialForward_scale         6.612e-05     0.00571     0.000607    
FNUFEE_scale                  3.679e-05     0.003817     0.0003314    
FNUFEB_scale                  0.0004279     0.008029     0.002765    
ShowerShapeHighR9EE_scale     3.541e-05     0.003155     0.0003314    
ShowerShapeHighR9EB_scale     0.0002284     0.003811     0.0002961    
ShowerShapeLowR9EE_scale      3.934e-05     0.0008069     3.426e-08    
ShowerShapeLowR9EB_scale      5.328e-05     0.00254     0.0002962    


diphotonCat=1
proc=ggh
HighR9EB_13TeVscale           0.0009045     0.0207     0.0002854    
HighR9EE_13TeVscale           2.518e-05     0.0007381     9.113e-06    
LowR9EB_13TeVscale            0.000472     0.0074     0.0001914    
LowR9EE_13TeVscale            4.285e-06     0.0002095     8.539e-05    
HighR9EBPhi_13TeVsmear        1.385e-05     0.04478     7.101e-06    
HighR9EBRho_13TeVsmear        3.544e-06     0.004418     3.539e-05    
HighR9EEPhi_13TeVsmear        1.02e-05     0.007242     1.312e-05    
HighR9EERho_13TeVsmear        2.274e-06     6.518e-05     3.742e-05    
LowR9EBPhi_13TeVsmear         6.033e-06     0.01848     0.0001486    
LowR9EBRho_13TeVsmear         3.036e-06     0.001218     8.635e-05    
LowR9EEPhi_13TeVsmear         9.581e-07     0.00138     8.807e-05    
LowR9EERho_13TeVsmear         9.415e-07     9.863e-05     9.48e-06    
MaterialCentral_scale         0.0004028     0.009261     0.0001366    
MaterialForward_scale         5.574e-05     0.0006163     0.0001316    
FNUFEE_scale                  1.644e-05     0.0007348     7.745e-05    
FNUFEB_scale                  0.0003978     0.009747     0.0002241    
ShowerShapeHighR9EE_scale     1.73e-05     0.0005678     3.313e-06    
ShowerShapeHighR9EB_scale     0.0001813     0.005038     9.248e-05    
ShowerShapeLowR9EE_scale      3.079e-06     0.0002005     7.417e-05    
ShowerShapeLowR9EB_scale      4.104e-05     0.001217     0.0001014    

diphotonCat=1
proc=vbf
HighR9EB_13TeVscale           0.0008238     0.008714     0.0004215    
HighR9EE_13TeVscale           5.768e-05     0.0008107     0.000121    
LowR9EB_13TeVscale            0.0006215     0.005187     0.0007194    
LowR9EE_13TeVscale            1.372e-05     0.0004604     0.0001068    
HighR9EBPhi_13TeVsmear        2.025e-05     0.05597     0.0003857    
HighR9EBRho_13TeVsmear        2.855e-06     0.005487     8.021e-05    
HighR9EEPhi_13TeVsmear        2.043e-06     0.01827     0.0001184    
HighR9EERho_13TeVsmear        7.11e-06     0.00108     8.356e-05    
LowR9EBPhi_13TeVsmear         1.677e-05     0.02145     0.0001938    
LowR9EBRho_13TeVsmear         5.213e-06     0.001165     3.694e-05    
LowR9EEPhi_13TeVsmear         1.07e-05     0.003197     0.0001577    
LowR9EERho_13TeVsmear         4.195e-06     0.0002668     3.831e-05    
MaterialCentral_scale         0.0003928     0.004458     4.509e-05    
MaterialForward_scale         0.0001342     0.000562     0.0001395    
FNUFEE_scale                  3.3e-05     0.0003449     6.685e-05    
FNUFEB_scale                  0.0003306     0.002168     0.0002405    
ShowerShapeHighR9EE_scale     3.472e-05     0.0003361     3.968e-05    
ShowerShapeHighR9EB_scale     0.0001618     0.002645     0.0001145    
ShowerShapeLowR9EE_scale      1.039e-05     0.0002327     0.000107    
ShowerShapeLowR9EB_scale      4.995e-05     0.001142     6.49e-05    

diphotonCat=1
proc=wh
HighR9EB_13TeVscale           0.0008319     0.01412     0.000292    
HighR9EE_13TeVscale           6.217e-05     0.002361     0.0001646    
LowR9EB_13TeVscale            0.0006243     0.005986     0.0005913    
LowR9EE_13TeVscale            9.742e-06     0.0008728     0.000283    
HighR9EBPhi_13TeVsmear        6.894e-06     0.06462     0.0006908    
HighR9EBRho_13TeVsmear        6.461e-06     0.00567     0.0002083    
HighR9EEPhi_13TeVsmear        1.386e-05     0.0184     0.0004668    
HighR9EERho_13TeVsmear        4.431e-07     0.001044     0.0001405    
LowR9EBPhi_13TeVsmear         2.685e-05     0.02665     0.0001111    
LowR9EBRho_13TeVsmear         6.509e-06     0.0007504     9.384e-05    
LowR9EEPhi_13TeVsmear         8.536e-06     0.002801     8.937e-05    
LowR9EERho_13TeVsmear         4.179e-06     0.0002569     0.0001645    
MaterialCentral_scale         0.0004057     0.001844     0.0001594    
MaterialForward_scale         0.0001414     0.00338     0.0003431    
FNUFEE_scale                  4.094e-05     0.0009905     0.0001379    
FNUFEB_scale                  0.0003334     0.002788     0.0003337    
ShowerShapeHighR9EE_scale     4.17e-05     0.001137     8.282e-05    
ShowerShapeHighR9EB_scale     0.0001622     0.0003532     8.586e-05    
ShowerShapeLowR9EE_scale      7.143e-06     0.0001707     0.0001653    
ShowerShapeLowR9EB_scale      5.38e-05     0.000559     5.294e-05    

diphotonCat=1
proc=zh
HighR9EB_13TeVscale           0.0008013     0.01513     0.0004514    
HighR9EE_13TeVscale           5.309e-05     0.001652     0.0001825    
LowR9EB_13TeVscale            0.0005806     0.00356     0.0005957    
LowR9EE_13TeVscale            1.509e-05     0.0005778     0.0001935    
HighR9EBPhi_13TeVsmear        4.046e-06     0.04395     6.699e-07    
HighR9EBRho_13TeVsmear        2.039e-05     0.004777     0.0001969    
HighR9EEPhi_13TeVsmear        2.83e-05     0.01526     0.0005372    
HighR9EERho_13TeVsmear        2.023e-05     0.0008733     0.0003097    
LowR9EBPhi_13TeVsmear         2.602e-05     0.02067     6.968e-05    
LowR9EBRho_13TeVsmear         1.673e-05     0.0007155     0.0002029    
LowR9EEPhi_13TeVsmear         4.56e-06     0.003428     0.0003723    
LowR9EERho_13TeVsmear         1.348e-05     0.0004518     9.961e-05    
MaterialCentral_scale         0.0004089     0.006472     0.0006137    
MaterialForward_scale         0.0001272     0.0004227     0.0003226    
FNUFEE_scale                  3.385e-05     0.001722     8.776e-05    
FNUFEB_scale                  0.0003481     0.005497     0.0008882    
ShowerShapeHighR9EE_scale     3.505e-05     0.001125     9.374e-05    
ShowerShapeHighR9EB_scale     0.0001805     0.003779     0.0004202    
ShowerShapeLowR9EE_scale      1.409e-05     0.000807     9.85e-05    
ShowerShapeLowR9EB_scale      5.015e-05     0.001415     0.0005143    

diphotonCat=1
proc=tth
HighR9EB_13TeVscale           0.0008549     0.02782     0.000674    
HighR9EE_13TeVscale           7.199e-05     0.003978     0.0006435    
LowR9EB_13TeVscale            0.0006045     0.008176     0.0004142    
LowR9EE_13TeVscale            1.359e-05     0.0007326     2.739e-05    
HighR9EBPhi_13TeVsmear        7.645e-06     0.05751     0.0002875    
HighR9EBRho_13TeVsmear        6.496e-06     0.006656     0.0005103    
HighR9EEPhi_13TeVsmear        8.111e-06     0.01915     0.0005876    
HighR9EERho_13TeVsmear        3.752e-06     0.001407     0.0001842    
LowR9EBPhi_13TeVsmear         1.527e-06     0.02775     0.0004721    
LowR9EBRho_13TeVsmear         6.096e-06     0.002398     1.3e-05    
LowR9EEPhi_13TeVsmear         2.277e-05     0.003649     0.001174    
LowR9EERho_13TeVsmear         1.273e-06     0.0006964     3.438e-07    
MaterialCentral_scale         0.0003632     0.00635     0.0002699    
MaterialForward_scale         0.0001489     0.003663     0.0004    
FNUFEE_scale                  4.341e-05     0.001376     0.0004475    
FNUFEB_scale                  0.0003542     0.01564     0.001422    
ShowerShapeHighR9EE_scale     4.524e-05     0.00186     0.000438    
ShowerShapeHighR9EB_scale     0.0001597     0.003812     0.0003144    
ShowerShapeLowR9EE_scale      8.951e-06     0.001101     2.738e-05    
ShowerShapeLowR9EB_scale      5.454e-05     0.00215     0.000139    


diphotonCat=2
proc=ggh
HighR9EB_13TeVscale           0.0006318     0.00579     0.0002498    
HighR9EE_13TeVscale           0.0001175     0.001972     0.0001653    
LowR9EB_13TeVscale            0.0008272     0.007909     0.0002188    
LowR9EE_13TeVscale            2.738e-05     0.0004605     0.0001032    
HighR9EBPhi_13TeVsmear        1.273e-05     0.01471     0.0001868    
HighR9EBRho_13TeVsmear        1.37e-06     0.002743     0.0001149    
HighR9EEPhi_13TeVsmear        1.086e-05     0.0106     0.0005035    
HighR9EERho_13TeVsmear        5.282e-06     0.001452     0.0001063    
LowR9EBPhi_13TeVsmear         5.06e-06     0.01264     0.0001955    
LowR9EBRho_13TeVsmear         3.457e-06     0.0007523     4.567e-05    
LowR9EEPhi_13TeVsmear         4.147e-06     0.002768     5.589e-05    
LowR9EERho_13TeVsmear         3.168e-06     0.0002351     2.7e-06    
MaterialCentral_scale         0.0003882     0.003965     6.43e-05    
MaterialForward_scale         0.000262     0.002999     3.917e-05    
FNUFEE_scale                  7.217e-05     0.001496     0.0001109    
FNUFEB_scale                  0.0001949     0.001671     0.0003021    
ShowerShapeHighR9EE_scale     7.679e-05     0.001456     9.899e-05    
ShowerShapeHighR9EB_scale     0.0001334     0.001187     4.866e-05    
ShowerShapeLowR9EE_scale      2.095e-05     0.0002103     7.08e-05    
ShowerShapeLowR9EB_scale      6.234e-05     0.001436     6.866e-05    

diphotonCat=2
proc=vbf
HighR9EB_13TeVscale           0.0005541     0.002778     0.0003448    
HighR9EE_13TeVscale           0.000168     0.001341     0.0006589    
LowR9EB_13TeVscale            0.000804     0.004929     0.0006614    
LowR9EE_13TeVscale            4.414e-05     0.000443     7.087e-05    
HighR9EBPhi_13TeVsmear        3.109e-05     0.01427     0.0007241    
HighR9EBRho_13TeVsmear        1.484e-05     0.002167     5.193e-05    
HighR9EEPhi_13TeVsmear        1.572e-05     0.01994     0.001823    
HighR9EERho_13TeVsmear        1.432e-05     0.001315     0.0001983    
LowR9EBPhi_13TeVsmear         1.807e-05     0.01456     0.0003083    
LowR9EBRho_13TeVsmear         1.185e-05     0.0002087     5.238e-05    
LowR9EEPhi_13TeVsmear         3.133e-05     0.004491     0.0001553    
LowR9EERho_13TeVsmear         1.142e-05     0.0006747     6.292e-05    
MaterialCentral_scale         0.0003645     0.002562     0.0002473    
MaterialForward_scale         0.0003855     0.001751     0.0007247    
FNUFEE_scale                  0.000114     0.001234     0.0004131    
FNUFEB_scale                  0.0001484     0.001435     0.0005915    
ShowerShapeHighR9EE_scale     0.0001205     0.001531     0.0003639    
ShowerShapeHighR9EB_scale     0.0001259     0.0005475     0.000207    
ShowerShapeLowR9EE_scale      3.445e-05     0.0007436     0.0001217    
ShowerShapeLowR9EB_scale      6.263e-05     0.00037     0.0001646    

diphotonCat=2
proc=wh
HighR9EB_13TeVscale           0.0005309     0.006365     0.0006557    
HighR9EE_13TeVscale           0.0001794     0.001761     0.0001307    
LowR9EB_13TeVscale            0.0008274     0.0102     0.0004569    
LowR9EE_13TeVscale            4.129e-05     0.0003728     0.0002304    
HighR9EBPhi_13TeVsmear        2.309e-05     0.01223     0.000379    
HighR9EBRho_13TeVsmear        1.41e-05     0.002851     9.674e-05    
HighR9EEPhi_13TeVsmear        3.94e-05     0.02985     0.0002267    
HighR9EERho_13TeVsmear        1.048e-05     0.001968     0.0001416    
LowR9EBPhi_13TeVsmear         4.698e-07     0.01373     0.0006845    
LowR9EBRho_13TeVsmear         2.154e-05     0.002539     0.0001411    
LowR9EEPhi_13TeVsmear         1.305e-05     0.006639     0.0005271    
LowR9EERho_13TeVsmear         1.698e-05     0.0003115     5.182e-05    
MaterialCentral_scale         0.0003674     0.003267     0.0004425    
MaterialForward_scale         0.0004288     0.004207     0.0002898    
FNUFEE_scale                  0.0001233     0.0009995     0.0001154    
FNUFEB_scale                  0.0001181     0.003755     0.0004206    
ShowerShapeHighR9EE_scale     0.0001239     0.001283     0.00024    
ShowerShapeHighR9EB_scale     0.0001146     0.000546     0.0003154    
ShowerShapeLowR9EE_scale      3.107e-05     0.0002637     0.0001923    
ShowerShapeLowR9EB_scale      5.81e-05     0.001299     0.0002424    

diphotonCat=2
proc=zh
HighR9EB_13TeVscale           0.0005185     0.004674     0.0008296    
HighR9EE_13TeVscale           0.000172     0.005738     0.0006239    
LowR9EB_13TeVscale            0.0007191     0.008148     0.0004996    
LowR9EE_13TeVscale            7.304e-05     0.0006125     0.0001081    
HighR9EBPhi_13TeVsmear        7.668e-05     0.01351     0.0006893    
HighR9EBRho_13TeVsmear        2.744e-05     0.001604     3.207e-05    
HighR9EEPhi_13TeVsmear        6.02e-05     0.01324     0.0008892    
HighR9EERho_13TeVsmear        2.202e-05     0.002185     8.348e-05    
LowR9EBPhi_13TeVsmear         7.53e-05     0.0134     0.0007593    
LowR9EBRho_13TeVsmear         2.334e-05     0.0009515     0.0001041    
LowR9EEPhi_13TeVsmear         3.912e-06     0.004979     0.000128    
LowR9EERho_13TeVsmear         2.27e-05     0.0006515     9.008e-06    
MaterialCentral_scale         0.0003003     0.003546     0.0005256    
MaterialForward_scale         0.000459     0.007033     0.000859    
FNUFEE_scale                  7.507e-05     0.004326     0.000348    
FNUFEB_scale                  0.0001526     0.00118     0.001054    
ShowerShapeHighR9EE_scale     0.0001146     0.003507     0.0003579    
ShowerShapeHighR9EB_scale     9.871e-05     0.001282     0.0002682    
ShowerShapeLowR9EE_scale      6.443e-05     0.0001676     8.597e-05    
ShowerShapeLowR9EB_scale      5.551e-05     0.001728     0.0005144    

diphotonCat=2
proc=tth
HighR9EB_13TeVscale           0.0006444     0.008076     0.0005617    
HighR9EE_13TeVscale           0.0001134     0.005348     0.0007671    
LowR9EB_13TeVscale            0.0007648     0.01571     0.000186    
LowR9EE_13TeVscale            4.905e-05     0.0009926     0.0004305    
HighR9EBPhi_13TeVsmear        1.313e-06     0.01594     0.001134    
HighR9EBRho_13TeVsmear        1.841e-05     0.001411     0.0004953    
HighR9EEPhi_13TeVsmear        4.405e-05     0.02032     0.0007954    
HighR9EERho_13TeVsmear        1.859e-05     0.002764     0.0002115    
LowR9EBPhi_13TeVsmear         5.353e-05     0.01847     0.002495    
LowR9EBRho_13TeVsmear         2.264e-05     0.0018     0.0004332    
LowR9EEPhi_13TeVsmear         0.0001118     0.01319     0.002015    
LowR9EERho_13TeVsmear         2.372e-05     0.001602     0.000309    
MaterialCentral_scale         0.0004067     0.003147     0.001334    
MaterialForward_scale         0.0002892     0.0069     0.001221    
FNUFEE_scale                  5.953e-05     0.003533     0.0007725    
FNUFEB_scale                  0.0002063     0.00576     0.001264    
ShowerShapeHighR9EE_scale     7.52e-05     0.003599     0.0005859    
ShowerShapeHighR9EB_scale     0.0001748     0.001536     0.0003111    
ShowerShapeLowR9EE_scale      3.98e-05     0.001011     0.0002309    
ShowerShapeLowR9EB_scale      7.636e-05     0.002419     0.0007476    


diphotonCat=3
proc=ggh
HighR9EB_13TeVscale           0.0003797     0.003066     0.0002446    
HighR9EE_13TeVscale           0.0002141     0.0008886     0.0001177    
LowR9EB_13TeVscale            0.0007846     0.005596     0.0005062    
LowR9EE_13TeVscale            8.27e-05     0.0006776     7.774e-05    
HighR9EBPhi_13TeVsmear        2.059e-05     0.00224     0.0003738    
HighR9EBRho_13TeVsmear        3.852e-06     0.0004932     7.826e-05    
HighR9EEPhi_13TeVsmear        1.146e-05     0.009297     0.0006681    
HighR9EERho_13TeVsmear        4.075e-06     0.001053     0.0001156    
LowR9EBPhi_13TeVsmear         2.304e-05     0.00339     6.309e-05    
LowR9EBRho_13TeVsmear         6.972e-06     0.0005364     7.938e-05    
LowR9EEPhi_13TeVsmear         2.269e-05     0.003515     1.527e-05    
LowR9EERho_13TeVsmear         6.818e-06     0.0003174     2.099e-05    
MaterialCentral_scale         0.0003084     0.002832     8.435e-05    
MaterialForward_scale         0.0005598     0.002534     0.0001288    
FNUFEE_scale                  0.0001381     0.000358     9.165e-05    
FNUFEB_scale                  5.13e-05     0.0007668     0.0001463    
ShowerShapeHighR9EE_scale     0.0001626     0.000707     5.325e-05    
ShowerShapeHighR9EB_scale     8.3e-05     0.0006983     6.117e-05    
ShowerShapeLowR9EE_scale      5.63e-05     0.0003346     4.006e-05    
ShowerShapeLowR9EB_scale      6.136e-05     0.0005958     0.0001084    

diphotonCat=3
proc=vbf
HighR9EB_13TeVscale           0.0003519     0.0002782     0.001006    
HighR9EE_13TeVscale           0.0002192     0.0002176     0.0005791    
LowR9EB_13TeVscale            0.000739     0.004764     0.0008445    
LowR9EE_13TeVscale            9.928e-05     0.003757     0.0002859    
HighR9EBPhi_13TeVsmear        3.456e-06     0.00585     0.00136    
HighR9EBRho_13TeVsmear        1.333e-05     0.0005043     0.0002047    
HighR9EEPhi_13TeVsmear        6.814e-05     0.01326     0.001847    
HighR9EERho_13TeVsmear        1.593e-05     0.003053     0.0002308    
LowR9EBPhi_13TeVsmear         2.047e-05     0.005253     0.0001412    
LowR9EBRho_13TeVsmear         1.589e-05     0.0002381     8.876e-05    
LowR9EEPhi_13TeVsmear         2.825e-05     0.002438     0.0002742    
LowR9EERho_13TeVsmear         1.614e-05     0.001176     8.841e-05    
MaterialCentral_scale         0.0003054     0.001298     0.000399    
MaterialForward_scale         0.000614     0.005484     0.00121    
FNUFEE_scale                  0.0001319     0.001896     0.000378    
FNUFEB_scale                  3.142e-05     0.001347     0.0009248    
ShowerShapeHighR9EE_scale     0.000164     0.001027     0.0003998    
ShowerShapeHighR9EB_scale     7.035e-05     0.0006017     9.989e-05    
ShowerShapeLowR9EE_scale      6.809e-05     0.002939     0.0001299    
ShowerShapeLowR9EB_scale      6.579e-05     0.001107     0.0002358    

diphotonCat=3
proc=wh
HighR9EB_13TeVscale           0.0003101     0.001239     0.0004778    
HighR9EE_13TeVscale           0.0002357     0.001817     0.0007847    
LowR9EB_13TeVscale            0.000692     0.0009432     0.0008694    
LowR9EE_13TeVscale            0.0001164     0.0009732     0.0003619    
HighR9EBPhi_13TeVsmear        7.896e-05     0.003734     0.0004363    
HighR9EBRho_13TeVsmear        2.425e-05     0.0007622     0.0002999    
HighR9EEPhi_13TeVsmear        2.204e-05     0.01691     0.001293    
HighR9EERho_13TeVsmear        1.378e-05     0.001428     0.0003563    
