# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain1EB_13TeVscale,Gain6EB_13TeVscale
photonCatScalesCorr=MaterialCentralBarrel_scale,MaterialOuterBarrel_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=GG2H
HighR9EEPhi_13TeVsmear        0.0001532     0.0006564     8.481e-08    
HighR9EERho_13TeVsmear        0.0002381     1.487e-09     8.481e-08    
LowR9EBPhi_13TeVsmear         0.0008599     0.001491     5.479e-08    
LowR9EBRho_13TeVsmear         0.0003552     0.01091     0.008179    
LowR9EEPhi_13TeVsmear         0.0001722     3.574e-09     8.782e-08    
LowR9EERho_13TeVsmear         0.0002077     1.487e-09     8.481e-08    
MaterialCentralBarrel_scale   0.0003696     0.006019     0.008179    
MaterialOuterBarrel_scale     0.0001526     0.01322     0.004516    
MaterialForward_scale         0.0002972     0.001821     0.00262    
FNUFEE_scale                  0.0002381     1.487e-09     8.481e-08    
FNUFEB_scale                  0.0006009     0.03942     8.097e-08    
ShowerShapeHighR9EE_scale     0.0002381     1.487e-09     8.481e-08    
ShowerShapeHighR9EB_scale     0.0005812     0.04386     0.000106    
ShowerShapeLowR9EE_scale      0.0002077     1.487e-09     8.481e-08    
ShowerShapeLowR9EB_scale      0.0001548     0.0002993     8.181e-08    

diphotonCat=0
proc=QQ2HLNU
HighR9EB_13TeVscale           0.0009881     0.1063     1.055e-07    
HighR9EE_13TeVscale           0.0002394     0.02648     7.496e-08    
LowR9EB_13TeVscale            0.0005994     0.1648     8.621e-08    
LowR9EE_13TeVscale            0.000265     1.401e-07     8.72e-08    
Gain1EB_13TeVscale            0.0002061     0.01868     8.201e-08    
Gain6EB_13TeVscale            0.0001707     0.001512     6.436e-08    
HighR9EBPhi_13TeVsmear        2.161e-05     0.1326     7.578e-08    
HighR9EBRho_13TeVsmear        0.0003042     0.07953     6.852e-08    
HighR9EEPhi_13TeVsmear        0.0003025     0.07081     8.418e-08    
HighR9EERho_13TeVsmear        0.0002559     0.001252     8.755e-08    
LowR9EBPhi_13TeVsmear         0.002381     0.014     0.00615    
LowR9EBRho_13TeVsmear         0.0005692     0.08325     0.007167    
LowR9EEPhi_13TeVsmear         0.0002516     1.401e-07     8.72e-08    
LowR9EERho_13TeVsmear         0.0002498     1.401e-07     8.72e-08    
MaterialCentralBarrel_scale   0.0002463     0.07103     8.651e-08    
MaterialOuterBarrel_scale     0.0003003     0.0531     3.737e-08    
MaterialForward_scale         0.0002545     0.02648     7.427e-08    
FNUFEE_scale                  0.0002711     0.001252     8.72e-08    
FNUFEB_scale                  0.0006243     0.0586     5.779e-08    
ShowerShapeHighR9EE_scale     0.0002365     1.401e-07     8.72e-08    
ShowerShapeHighR9EB_scale     0.0006131     0.05993     9.585e-08    
ShowerShapeLowR9EE_scale      0.000265     1.401e-07     8.72e-08    
ShowerShapeLowR9EB_scale      0.0002327     0.02449     8.72e-08    

diphotonCat=0
proc=WH2HQQ
HighR9EB_13TeVscale           0.0007748     0.008215     0.000399    
HighR9EE_13TeVscale           5.555e-05     0.001959     0.0005894    
LowR9EB_13TeVscale            0.0006656     0.01864     0.0004342    
LowR9EE_13TeVscale            2.926e-05     6.901e-05     1.965e-07    
Gain1EB_13TeVscale            0.0001403     0.004453     0.0002146    
Gain6EB_13TeVscale            9.198e-05     0.004567     0.0005241    
HighR9EBPhi_13TeVsmear        0.0001747     0.1306     0.003562    
HighR9EBRho_13TeVsmear        6.572e-05     0.02475     0.0006074    
HighR9EEPhi_13TeVsmear        9.178e-05     0.01837     0.001961    
HighR9EERho_13TeVsmear        4.312e-05     0.001567     0.0005215    
LowR9EBPhi_13TeVsmear         3.349e-05     0.06677     0.001092    
LowR9EBRho_13TeVsmear         3.561e-05     0.01289     0.0009433    
LowR9EEPhi_13TeVsmear         1.78e-05     0.003138     1.839e-07    
LowR9EERho_13TeVsmear         3.51e-05     1.025e-07     1.958e-07    
MaterialCentralBarrel_scale   0.000186     0.004479     0.0004704    
MaterialOuterBarrel_scale     0.0003031     0.00557     0.001326    
MaterialForward_scale         7.124e-05     0.001879     0.001048    
FNUFEE_scale                  3.241e-05     0.002314     0.0005215    
FNUFEB_scale                  0.0002571     0.007439     5.131e-05    
ShowerShapeHighR9EE_scale     4.921e-05     0.001514     1.789e-07    
ShowerShapeHighR9EB_scale     0.0003737     0.007552     0.0004704    
ShowerShapeLowR9EE_scale      3.637e-05     0.000523     1.888e-07    
