# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
LowR9EERho_13TeVsmear         3.269e-06     1.182e-05     1.501e-05    
MaterialCentral_scale         0.0003738     0.005587     0.0001718    
MaterialForward_scale         0.0004959     0.005379     0.0002855    

diphotonCat=1
proc=vbf
HighR9EB_13TeVscale           0.0008187     0.02046     0.0003502    
HighR9EE_13TeVscale           4.757e-05     0.0005979     0.0001711    
LowR9EB_13TeVscale            0.0005657     0.004683     0.0009386    
LowR9EE_13TeVscale            1.11e-05     8.833e-05     8.452e-05    
HighR9EBPhi_13TeVsmear        0.0001098     0.1551     0.0002468    
HighR9EBRho_13TeVsmear        2.109e-05     0.02699     0.0002761    
HighR9EEPhi_13TeVsmear        2.368e-05     0.0353     0.0003448    
HighR9EERho_13TeVsmear        2.546e-06     0.004029     4.948e-05    
LowR9EBPhi_13TeVsmear         4.643e-05     0.05852     0.001626    
LowR9EBRho_13TeVsmear         7.823e-06     0.01172     0.0002116    
LowR9EEPhi_13TeVsmear         1.781e-05     0.009247     0.0001373    
LowR9EERho_13TeVsmear         5.382e-06     0.0007809     2.94e-05    
MaterialCentral_scale         0.0003341     0.009259     0.0001371    
MaterialForward_scale         0.000718     0.007014     0.0003084    

diphotonCat=1
proc=tth
HighR9EB_13TeVscale           0.0007877     0.01541     0.001098    
HighR9EE_13TeVscale           6.206e-05     0.001143     0.0005997    
LowR9EB_13TeVscale            0.0006171     0.01239     0.0006798    
LowR9EE_13TeVscale            4.214e-06     0.001372     6.497e-07    
HighR9EBPhi_13TeVsmear        0.0001917     0.1267     0.001467    
HighR9EBRho_13TeVsmear        2.352e-05     0.02737     0.001381    
HighR9EEPhi_13TeVsmear        5.402e-05     0.07283     0.001441    
HighR9EERho_13TeVsmear        5.738e-06     0.003684     0.0007063    
LowR9EBPhi_13TeVsmear         0.00013     0.07313     0.004643    
LowR9EBRho_13TeVsmear         2.713e-05     0.008219     6.359e-05    
LowR9EEPhi_13TeVsmear         5.721e-05     0.006538     0.0002466    
LowR9EERho_13TeVsmear         8.324e-06     0.001869     7.451e-05    
MaterialCentral_scale         0.0003429     0.006289     0.0006775    
MaterialForward_scale         0.0008213     0.01069     0.000854    

diphotonCat=1
proc=wh
HighR9EB_13TeVscale           0.0008079     0.01966     0.0003098    
HighR9EE_13TeVscale           6.394e-05     0.0005223     0.000127    
LowR9EB_13TeVscale            0.0006127     0.006462     0.0002122    
LowR9EE_13TeVscale            3.573e-05     0.0005749     6.216e-05    
HighR9EBPhi_13TeVsmear        7.312e-07     0.1248     0.00159    
HighR9EBRho_13TeVsmear        2.261e-05     0.02044     0.0002335    
